,Number of Occurrences,xl,Event,Method
0,80,30.0,good_A,Supervisory+RL
1,66,30.0,good_A,Supervisory
2,37,30.0,good_A,Supervisory+RL
3,84,30.0,good_A,Supervisory
4,62,30.0,good_A,Supervisory+RL
5,63,30.0,good_A,Supervisory
6,78,30.0,good_A,Supervisory+RL
7,67,30.0,good_A,Supervisory
8,41,30.0,good_A,Supervisory+RL
9,82,30.0,good_A,Supervisory
10,64,30.0,good_A,Supervisory+RL
11,73,30.0,good_A,Supervisory
12,67,30.0,good_A,Supervisory+RL
13,73,30.0,good_A,Supervisory
14,63,30.0,good_A,Supervisory+RL
15,64,30.0,good_A,Supervisory
16,75,30.0,good_A,Supervisory+RL
17,78,30.0,good_A,Supervisory
18,349,30.0,good_B,Supervisory+RL
19,327,30.0,good_B,Supervisory
20,399,30.0,good_B,Supervisory+RL
21,318,30.0,good_B,Supervisory
22,374,30.0,good_B,Supervisory+RL
23,322,30.0,good_B,Supervisory
24,363,30.0,good_B,Supervisory+RL
25,328,30.0,good_B,Supervisory
26,390,30.0,good_B,Supervisory+RL
27,317,30.0,good_B,Supervisory
28,366,30.0,good_B,Supervisory+RL
29,321,30.0,good_B,Supervisory
30,365,30.0,good_B,Supervisory+RL
31,315,30.0,good_B,Supervisory
32,386,30.0,good_B,Supervisory+RL
33,324,30.0,good_B,Supervisory
34,356,30.0,good_B,Supervisory+RL
35,336,30.0,good_B,Supervisory
36,80,30.0,good_A,Supervisory+RL
37,66,30.0,good_A,Supervisory
38,37,30.0,good_A,Supervisory+RL
39,84,30.0,good_A,Supervisory
40,62,30.0,good_A,Supervisory+RL
41,63,30.0,good_A,Supervisory
42,78,30.0,good_A,Supervisory+RL
43,67,30.0,good_A,Supervisory
44,41,30.0,good_A,Supervisory+RL
45,82,30.0,good_A,Supervisory
46,64,30.0,good_A,Supervisory+RL
47,73,30.0,good_A,Supervisory
48,67,30.0,good_A,Supervisory+RL
49,73,30.0,good_A,Supervisory
50,63,30.0,good_A,Supervisory+RL
51,64,30.0,good_A,Supervisory
52,75,30.0,good_A,Supervisory+RL
53,78,30.0,good_A,Supervisory
54,349,30.0,good_B,Supervisory+RL
55,327,30.0,good_B,Supervisory
56,399,30.0,good_B,Supervisory+RL
57,318,30.0,good_B,Supervisory
58,374,30.0,good_B,Supervisory+RL
59,322,30.0,good_B,Supervisory
60,363,30.0,good_B,Supervisory+RL
61,328,30.0,good_B,Supervisory
62,390,30.0,good_B,Supervisory+RL
63,317,30.0,good_B,Supervisory
64,366,30.0,good_B,Supervisory+RL
65,321,30.0,good_B,Supervisory
66,365,30.0,good_B,Supervisory+RL
67,315,30.0,good_B,Supervisory
68,386,30.0,good_B,Supervisory+RL
69,324,30.0,good_B,Supervisory
70,356,30.0,good_B,Supervisory+RL
71,336,30.0,good_B,Supervisory
