sct,nsarsa,deep
-49122.70888888889,13889.084444444445,127625.71
-37433.455555555556,12164.131111111112,99051.64444444445
-51970.48,5506.944444444444,228892.63222222222
-54922.10888888889,4721.986666666667,217445.02
-49608.31333333333,3477.1422222222222,232682.20333333334
-36603.16444444445,3793.4533333333334,253781.42888888888
-50701.07777777778,2020.8644444444444,243653.74444444446
-4910.64,38193.74888888889,272030.5266666667
-34406.666666666664,12911.986666666666,247080.98444444445
-33168.60444444444,13677.846666666666,266978.1533333333
-44851.38444444445,21565.264444444445,267148.59222222224
-49054.72222222222,5423.3422222222225,264940.90444444446
-48069.08,7649.737777777777,211284.30444444445
-52258.735555555555,-5882.237777777777,256662.13777777777
-97772.06444444445,-34522.50666666667,234151.31333333332
-87721.57555555555,-22916.995555555557,235718.38888888888
-79012.91333333333,-23188.046666666665,228410.47666666665
-50795.54666666667,386.87555555555554,236800.94222222222
-44167.72888888889,3266.8777777777777,221167.78
-45472.984444444446,-4878.528888888889,236571.77555555556
-75689.03555555556,-24666.397777777776,252991.4077777778
-41365.86666666667,18999.617777777778,265654.02222222224
-43960.81555555556,-9151.246666666666,250474.17777777778
-68015.33333333333,-13431.186666666666,250137.07888888888
-12934.602222222222,35480.67333333333,251113.8088888889
-111926.71555555555,-45823.502222222225,188341.48
-116479.31555555556,-42850.706666666665,220438.01111111112
-47893.38,7593.644444444444,236607.55444444445
-44620.80222222222,15188.775555555556,212976.06333333332
-36277.008888888886,18145.386666666665,251025.74777777778
-42661.86,33702.72666666667,258459.3722222222
-121692.85333333333,-30048.133333333335,195013.46777777778
-74255.97333333333,18183.617777777778,229371.06222222222
-73985.23555555556,466.6711111111111,216405.32444444444
-95745.36888888889,-18035.54,243636.7577777778
-37620.48222222222,33728.177777777775,217886.91444444444
-59466.97777777778,14693.84,231722.57555555555
-48146.89333333333,27257.086666666666,192008.01555555555
-99184.28444444445,-18781.977777777778,231500.71666666667
-114417.45777777777,-39935.48,240368.78222222222
-77889.62,-16067.148888888889,224774.43333333332
-55494.58666666667,8214.148888888889,246587.34666666668
-58970.39111111111,7764.913333333333,244607.81222222222
-98937.44,-4807.713333333333,260506.17888888888
-59522.96,14837.742222222223,259582.28555555554
-102185.67555555556,-25988.544444444444,243481.19222222222
-62436.375555555554,16793.6,253000.46444444446
-80386.36666666667,7389.793333333333,253403.42111111112
-95068.96888888889,-15940.74888888889,272110.8
-97056.72,-8175.277777777777,203532.45888888888
-74325.89333333333,4260.251111111111,257263.60222222222
-46722.653333333335,44145.88444444445,250354.97777777776
-50290.235555555555,11708.653333333334,269979.99333333335
-62749.6,14725.271111111111,253309.80777777778
-97810.26444444444,-10236.366666666667,230931.29
-108491.62444444445,-21502.068888888887,209913.64222222223
4663.8422222222225,60094.637777777774,231552.17666666667
-91319.57777777778,-13033.028888888888,206562.89222222223
-56851.397777777776,29224.637777777778,249248.76111111112
-52093.63555555556,26392.562222222223,208992.75444444444
-90868.28222222222,-19275.844444444443,266845.93
-55397.87111111111,3980.32,228241.06555555554
-55523.03555555556,29538.344444444443,238115.54333333333
-71668.20444444445,-2682.8955555555553,248074.43555555557
-101753.47111111111,-34135.91111111111,210182.31222222222
-62673.20222222222,-13870.355555555556,224388.33555555556
-77947.60444444444,-18785.042222222222,234177.55555555556
-77219.27333333333,2161.597777777778,240921.52666666667
-57501.76666666667,16975.362222222222,276428.2866666667
-103476.43111111112,-16977.124444444446,263534.7588888889
-67936.9,25451.522222222222,271817.75
-67619.61777777778,-9161.586666666666,236482.93666666668
-57099.055555555555,19625.057777777776,239707.2122222222
-55.12888888888889,59524.68,261217.54777777777
-76758.48888888888,12535.933333333332,242830.84444444443
-64137.36444444444,5650.895555555556,255365.76666666666
-46480.357777777775,25146.104444444445,235768.57
-77930.06222222222,9323.635555555555,235989.17555555556
-97990.3,-25376.035555555554,246698.20111111112
-60761.32666666667,3945.866666666667,233477.88333333333
-15429.773333333333,54738.76888888889,264678.2344444444
-80781.92888888888,5400.88,250975.1888888889
-36827.84444444445,30583.695555555554,203052.54333333333
-38488.43111111111,27998.38,267051.5211111111
-71626.07555555555,4224.126666666667,259547.17888888888
-42265.68666666667,23517.417777777777,266120.81444444443
-118996.6711111111,-37794.20888888889,229831.66444444444
-64335.497777777775,12028.722222222223,256494.66444444444
-102338.32666666666,-31476.762222222223,217427.37333333332
-68680.93555555555,-1683.7555555555555,231916.3111111111
-89489.55111111111,-24180.613333333335,255036.5011111111
-137750.4311111111,-46961.357777777775,251111.01333333334
-111626.86666666667,-26674.64222222222,262763.3211111111
-93213.22444444445,-14721.213333333333,265659.7611111111
-119199.24444444444,-41222.21555555556,234887.5077777778
-50367.57111111111,13368.595555555556,225053.28
-108609.49777777778,-30376.35777777778,205638.98222222223
-91587.13777777778,-5577.962222222222,257103.07444444444
-91720.78222222222,-10671.402222222223,246482.77777777778
-88603.68222222223,-9421.691111111111,199788.00444444444
